reviewid,genre
22237,electronic
22273,pop/r&b
22274,rap
22241,rock
22233,experimental
22248,rock
22236,electronic
22242,rock
22239,global
22239,jazz
22239,rap
22174,pop/r&b
22267,rap
22270,rock
22270,experimental
22230,experimental
22169,rock
22246,electronic
22272,rock
22227,
22228,rock
22245,rock
22210,rap
22264,rock
22263,rock
22265,electronic
22261,rap
22234,electronic
22226,rock
22262,
22193,pop/r&b
22244,rock
22217,rock
22232,rap
22020,rap
22215,rock
22225,electronic
22220,
22131,rock
22221,rap
22247,rock
22198,folk/country
22214,electronic
22185,rock
22207,electronic
22189,electronic
22240,rap
22150,rock
22197,electronic
22213,rock
22208,electronic
22202,
22219,
22206,pop/r&b
22151,electronic
22137,
22200,
22216,electronic
22209,electronic
22170,pop/r&b
22170,electronic
22139,rock
22218,rap
22182,electronic
22203,experimental
22044,pop/r&b
22186,rock
22204,rap
22188,jazz
22188,experimental
22205,metal
22191,rap
22191,pop/r&b
22199,rap
22195,electronic
22148,electronic
22196,rock
22196,metal
22201,rap
22187,folk/country
22179,rock
22149,rock
22152,
22192,electronic
22165,
22163,pop/r&b
22143,electronic
22183,electronic
22178,rock
22168,rock
22145,experimental
22142,metal
22184,electronic
22162,experimental
22107,rock
22159,jazz
22159,pop/r&b
22118,
22194,rock
22133,metal
22173,global
22113,experimental
22190,electronic
22172,global
22180,pop/r&b
22136,rap
22181,folk/country
22130,electronic
22177,rap
22147,rock
22147,metal
22175,electronic
22129,metal
22157,rap
22128,
22160,rap
22098,rock
22098,metal
22167,rap
22171,rap
21886,pop/r&b
22154,rock
22166,
22043,rap
22161,rap
22123,rock
22144,rock
22176,pop/r&b
22119,electronic
22121,rap
22126,
22158,rock
22158,experimental
22158,electronic
22156,pop/r&b
22135,rap
22106,global
22140,rock
22120,experimental
22110,pop/r&b
22138,rap
22127,metal
22109,jazz
22117,electronic
22125,rock
22125,electronic
22155,experimental
22101,rap
22103,experimental
22116,rock
22124,electronic
22087,electronic
21924,rock
22073,rock
22141,rap
22062,electronic
22108,
22075,pop/r&b
22111,rock
22122,experimental
22105,electronic
22094,rap
22090,electronic
22064,
22102,experimental
22093,experimental
22100,electronic
22095,rock
22114,electronic
22057,pop/r&b
22097,experimental
22088,experimental
22099,metal
21895,rock
21895,global
22085,pop/r&b
22071,electronic
22059,rock
22104,pop/r&b
22035,pop/r&b
22060,pop/r&b
22092,folk/country
22016,folk/country
22026,electronic
22065,electronic
22091,electronic
22086,pop/r&b
22086,experimental
22015,jazz
22015,metal
22072,electronic
22074,metal
22089,rap
22027,rock
22027,electronic
22080,rock
22083,pop/r&b
21883,pop/r&b
22076,experimental
22067,rock
22084,rock
22069,rock
22056,rock
22054,rock
22079,rap
22081,rock
22063,rock
22082,experimental
22077,rap
22078,electronic
22066,
22022,experimental
22052,pop/r&b
22070,
22029,pop/r&b
22021,rock
22030,experimental
22013,rock
22013,experimental
21969,folk/country
22001,
22055,rock
22041,rock
22041,metal
22068,rock
22042,electronic
22039,electronic
21985,rock
22018,rock
22018,electronic
22058,pop/r&b
21968,
22053,rock
22019,electronic
22014,rock
22014,electronic
