reviewid,label
22403,fresh in the flesh
22397,sinderlyn
22359,epitaph
22365,magic theatre music
22358,northern spy
22300,rvng intl.
22335,lex
22379,thrill jockey
22360,drag city
22336,bad seed ltd.
22283,mg.art
22303,shitkatapult
22306,control group
22396,interscope
22343,reprise
22305,deutsche grammophon
22238,goma gringa
22350,third man
22356,infrequent seams
22112,interdimensional transmissions
22309,fat possum
22345,ecm new series
22255,philips
22327,death waltz
22288,ato
22364,warner bros.
22380,orindal
22355,dbpm
22289,anti-
22289,red floor
22290,weird world
22330,caroline
22361,epic
22284,don giovanni
22354,interscope
22354,school boy
22351,no world
22363,top dawg
22281,temporary residence
22342,stretch
22342,concord music group
22352,warp
22322,hyperdub
22287,merge
22344,sub pop
22344,deathbomb arc
22286,orchid tapes
22212,cbs
22212,columbia
22353,"a.o.i., llc"
22349,bloodshot
22337,goner
21989,cooking vinyl
22282,jagjaguwar
22332,city slang
22333,tri angle
22277,temporary residence
22329,atlantic
22329,300 entertainment
22338,npg
22341,bella union
22341,sacred bones
22271,be with
22319,caroline
22331,omnivore
22325,just music
22320,ba da bing!
22296,def jam
22296,blacksmith
22296,artium
22243,casablanca
22243,fiction
22328,domino
22279,paradise of bachelors
22256,anti-
22340,self-released
22251,profound lore
22257,domino
22132,mca
22254,polyvinyl
22252,studio barnhus
22260,artoffact
22321,love justice sarl/justice sarl
22280,mello music group
22231,uno
22311,thirty tigers
22295,self-released
22285,self-released
22249,erased tapes
22258,new amsterdam
22258,nna tapes
22211,interscope
22223,arts & crafts
22276,self-released
22237,world famous
22273,daptone
22274,self-released
22241,stones throw
22233,thrill jockey
22248,4ad
22236,scissor tail
22242,sub pop
22239,pi
22174,motown
22267,iron works
22270,sacred bones
22230,geographic north
22169,i own you
22169,upset the rhythm
22246,teklife
22272,goofin'
22227,orchid tapes
22228,fat possum
22245,warp
22210,rhymesayers
22264,triple b
22263,kanine
22265,lakeshore
22261,self-released
22234,endless xclusive
22226,secretly canadian
22262,rca
22193,warner bros.
22193,ovo sound
22244,mexican summer
22217,self-released
22232,mello music group
22020,interscope
22020,ear drummer
22215,moshi moshi
22225,greco-roman
22225,city slang
22220,better days
22131,too pure
22221,self-released
22247,flying nun
22198,dead oceans
22214,a-ton
22185,castle face
22207,carpark
22189,dfa
22240,self-released
22150,polyvinyl
22197,interscope
22213,rca
22213,legacy
22208,die orakel
22202,mass appeal
22219,intercoastal artists
22206,astro nautico
22151,joy void
22137,atlantic
22200,famous class
22216,columbia
22209,ghostly international
22170,ghostly international
22139,domino
22218,self-released
22182,music from memory
22203,orange mountain
22044,epic
22186,sub pop
22204,cam & china
22188,blue note
22205,nordvis
22205,bindrune
22191,epic
22199,1-800 dinosaur
22195,trunk
22148,erased tapes
22196,epitaph
22201,self-released
22187,gndwire
22179,lauren
22149,jagjaguwar
22152,l.a. club resource
22192,esp institute
22165,sacred bones
22163,rca
22163,little tokyo
22143,dim mak
22183,growing bin
22178,polyvinyl
22168,merge
22145,technicolour
22142,nuclear blast
22184,exit
22162,thrill jockey
22107,warner bros.
22159,philips
22118,efficient space
22194,topshelf
22133,profound lore
22173,mais um discos
22113,khannibalism
22113,ernest jenning
22190,hw&w
22190,ultra
22172,stones throw
22180,self-released
22136,def jam
22181,cn records
22130,physical editions
22177,quality control
22147,sargent house
22175,technicolour
22129,metal blade
22157,atlantic
22128,burger
22160,300 entertainment
22098,joyful noise
22167,doggy style
22167,entertainment one
22171,coalmine
21886,polydor
22154,american bushmen
22166,sound signature
22043,tommy boy
22161,slaughter gang
22123,sacred bones
22144,partisan
22176,the leaf label
22119,pluto
22119,luaka bop
22121,deep entertainment
22126,gqom oh!
22158,sub rosa
22156,closed sessions
22135,interscope
22106,nu-roots
22140,alcopop!
22140,lame-o
22120,130701
22110,true panther
22138,
22127,the flenser
22109,innovative leisure
22117,last gang
22125,chunklet
22155,fragile
22101,columbia
22103,break world
22116,poison city
22124,honest jon's
22087,planet mu
21924,warner bros.
22073,hardly art
22141,self-released
22062,international feel
22108,130701
22075,polydor
22111,light in the attic
22122,ylylcyn
22105,!k7
22094,top dawg
22094,interscope
22090,warp
22064,wharf cat
22064,spunk
22064,faux discx
22102,temporary residence
22093,self-released
22100,feedelity
22095,dirtnap
22095,fortuna pop!
22114,brunette editions
22057,columbia
22097,true panther
22088,dfa
22099,rise
21895,staubgold
22085,play it again sam
22071,araabmuzik label group
22059,in the red
22104,ovo sound
22035,columbia
22035,ruffhouse
22060,because music
22092,third man
22016,chaos kitchen
22026,apron
22065,xl
22065,emi
22065,astralwerks
22065,modular
22091,glydezone
22086,erased tapes
22015,roadrunner
22072,warp
22074,relapse
22089,entertainment one
22027,culvert music
22080,viking wizard eyes
22083,rca
21883,buzz
22076,cinedelic
22067,parlophone
22084,mute
22069,don giovanni
22056,melodic
22054,island
22079,g.o.o.d. music
22081,loves way
22063,tiny engines
22082,leaving
22077,free bandz
22078,break world
22066,manifesto
22022,room40
22052,domino
22070,river tiber
22029,transgressive
22021,dischord
22030,editions mego
22013,polyvinyl
21969,double double whammy
22001,don giovanni
22055,columbia
22041,debemur morti
22068,cinematic
22042,trip
22039,superior viaduct
21985,republic
22018,phlex
22058,cascine
21968,mint
22053,reprise
22019,mass appeal
22014,island
22014,umg
22038,modern harmonic
22007,nonesuch
22050,total negativity
22050,nervous nelly
21719,rca
21719,sony
22012,telephone explosion
22012,felte
22032,joyful noise
22049,island
22048,merge
22017,twosyllable
22005,sub pop
21970,dead oceans
22036,self-released
21971,tompkins square
21979,magic bullet
21994,young god
21988,def jam
21984,olsen
22000,rca
22000,bystorm
21992,warner bros.
22010,mixpak
22011,merge
22034,hospital productions
21951,kompakt
22037,apple
22024,anti-
21884,fat possum
22046,dollaz n dealz
21982,nuclear blast
21973,reprise
21726,virgin emi
21726,island
22033,superior viaduct
21991,!k7
22004,sony
22040,safehouse
22040,island
21974,gloriette
22008,superior viaduct
22008,w.25th
22006,merge
21972,smalltown supersound
22031,empire
22031,mozzy records
21945,infinity cat
21995,interscope
21965,glassnote
21882,thrill jockey
22002,firehouse 12
21990,aircheology
21990,parlophone
21885,proibito
21967,warp
21966,gronland
21889,thrill jockey
21964,emi
21980,lefse
21946,moshi moshi
21941,polyvinyl
21931,kanine
21953,stunvolume
21987,carpark
21996,m-plant
21999,ato
21998,roc nation
21978,concord
21961,ingrid
21722,future days
21952,warner bros.
21997,mojo
21872,captured tracks
21954,anti-
21986,cult
21962,domino
21938,r&s
21654,numero group
21871,secretly canadian
21828,saddle creek
21959,ipecac
21977,jagjaguwar
21981,self-released
21904,ne'astra music group
21873,matador
21960,yep roc
21890,relapse
21913,self-released
21932,epic
21942,!k7
21937,leaving
21921,mom & pop
21921,transgressive
21921,future classic
21916,merge
21976,zef
21915,creep
21944,caldo verde
21723,innovative leisure
21958,hotflush
21975,goner
21957,bread winners' association
21917,anti-
21943,fat possum
21910,pop wig
21956,new west
21891,sub pop
21718,sideonedummy
21718,royal mountain
21922,one little indian
21786,hippie dance
21950,warp
21821,legacy
21821,columbia
21821,blue note
21947,innovative leisure
21934,soul jazz
21675,tiny engines
21940,self-released
21933,omnivore
21949,fpe
21948,wolf parade productions
21955,manqu
21536,now again
21936,tri angle
21892,republic
21874,city slang
21584,superior viaduct
21880,topshelf
21896,parlophone
21923,fade to mind
21929,votiv
21914,paradise of bachelors
21939,columbia
21926,rough trade
21893,foom
21868,partisan
21920,dial
21864,sacred bones
21894,cooking vinyl
21935,canvasback / atlantic
21721,ecm
21673,matador
21928,self-released
21898,vice
21875,rado
21771,4ad
21725,mom & pop
21912,mexican summer
21865,wichita
21802,hyperdub
21676,relapse
21887,merge
21919,dfa
21909,
21700,kill rock stars
21911,brainfeeder
21869,club ac30
21918,prestige
21677,run for cover
21818,roadrunner
21784,sub pop
21862,daps
21901,pax-am
21858,boy better know
21900,virgin
21877,stolen recordings
21899,xl
21785,warp
21724,grand jury
21908,big crown
21879,harvest
21876,columbia
21820,editions mego
21859,fat possum
21907,xl
21888,mute
21678,decca
21678,blue note
21878,lambent light
21906,universal
21861,merge
21863,stones throw
21852,totally gross national product
21782,dead oceans
21783,asthmatic kitty
21855,fool's gold
21720,captured tracks
21817,ecm
21701,bureau b
21854,parlophone
21856,double feature
21905,good cheer
21849,domino
21860,cherry red
21645,earache
21857,masters of bates
21819,secretly canadian
21819,rough trade
21794,run for cover
21810,greensleeves
21815,lame-o
21687,rhymesayers
21804,stones throw
21853,ato
21851,last gang
21848,rinse
21848,virgin emi
21653,cherry red
21813,dfa
21903,joyful noise
21816,4ad
21836,cash money
21836,young money entertainment
21835,pampa
21850,self-released
21801,cantaloupe
21845,paisley park
21842,warner bros.
21844,paisley park
21846,warner bros.
21846,paisley park
21841,warner bros.
21866,warner bros.
21843,warner bros.
21847,warner bros.
21847,paisley park
21715,pinkflag
21839,self-released
21637,profound lore
21781,northern spy
21743,warp
21806,new amsterdam
21834,susannasonata
21825,interscope
21825,hs87
21867,columbia
21867,parkwood
21826,rca
21838,sub pop
21837,anticon
21833,modern love
21797,jackpot records
21762,century media
21717,sub pop
21814,easy sound
21694,sacred bones
21799,resonance
21840,empire
21840,blake enterprises
21840,"diamond lane music group, inc."
21744,secret city
21714,fat possum
21696,crammed discs
21832,party smasher inc.
21827,topshelf
21808,rockathon
21807,audika
21792,manifesto
21695,mule musiq
21709,mass appeal
21709,payjay
21778,leaving
21708,dust-to-digital
21809,beats in space
21758,atlantic
21791,edamame
21699,other people
