reviewid,artist
22367,randy newman
22402,led zeppelin
22382,various artists
22383,grumbling fur
22408,croatian amor
22407,preoccupations
22312,robert glasper experiment
22381,mndsgn
22357,sumerlands
22061,brian eno
22293,mac miller
22310,julius eastman
22398,bryce dessner
22398,aaron dessner
22403,dj fresh
22403,ezale
22397,cymbals eat guitars
22359,touch amor
22365,silver apples
22358,matthew shipp
22358,bobby kapp
22300,kaitlyn aurelia smith
22300,suzanne ciani
22335,fudge
22379,wrekmeister harmonies
22360,tim presley
22336,nick cave & the bad seeds
22283,manuel gttsching
22303,cristian vogel
22306,el perro del mar
22396,m.i.a.
22343,neil young
22305,jhann jhannsson
22238,various artists
22350,jack white
22356,steve buscemi
22356,elliott sharp
22112,alpha 606
22309,adam torres
22345,vox clamantis
22255,caetano veloso
22327,angelo badalamenti
22288,okkervil river
22364,banks & steelz
22380,lisa/liza
22355,wilco
22289,daniel lanois
22290,drugdealer
22330,james vincent mcmorrow
22361,travis scott
22284,p.s. eliot
22354,carly rae jepsen
22351,inc. no world
22363,isaiah rashad
22281,eluvium
22342,circle
22352,bibio
22322,zomby
22287,teenage fanclub
22344,clipping.
22286,yohuna
22212,terry riley
22353,de la soul
22349,mekons
22337,nots
21989,d.a.r.k.
22282,angel olsen
22332,junior boys
22333,serpentwithfeet
22277,william basinski
22329,young thug
22338,prince
22341,soundwalk collective
22341,patti smith
22341,jesse paris smith
22271,funk factory
22319,prophets of rage
22331,the beach boys
22325,jon hopkins
22320,the dead c
22296,vince staples
22243,crystal castles
22328,porches
22279,nathan bowles
22256,cass mccombs
22340,gucci mane
22340,zaytoven
22251,subrosa
22257,motion graphics
22132,the roots
22254,katy goodman
22254,greta morgan
22252,kornl kovcs
22260,controlled bleeding
22321,cassius
22280,red pill
22231,feral
22311,carl broemel
22295,frank ocean
22285,various artists
22249,peter broderick
22258,battle trance
22211,tory lanez
22223,brendan canning
22276,charlotte day wilson
22237,tokyo black star
22273,sharon jones and the dap-kings
22274,tree
22241,mild high club
22233,marielle v. jakobsons
22248,scott walker
22236,scott hirsch
22242,morgan delt
22239,steve lehman
22239,slbyone
22174,stevie wonder
22267,ka
22270,atticus ross
22270,leopold ross
22270,bobby krlic
22230,jefre cantu-ledesma
22169,rattle
22246,dj earl
22272,sonic youth
22227,various artists
22228,the grifters
22245,gonjasufi
22210,atmosphere
22264,fury
22263,hockey dad
22265,kyle dixon
22265,michael stein
22261,kool a.d.
22234,lexxi
22226,alex cameron
22262,various artists
22193,partynextdoor
22244,pill
22217,mal devisa
22232,lando chill
22020,rae sremmurd
22215,slow club
22225,roosevelt
22220,various artists
22131,pj harvey
22221,2 chainz
22247,the chills
22198,ryley walker
22214,the 7th plain
22185,thee oh sees
22207,toro y moi
22189,factory floor
22240,themind
22150,of montreal
22197,dj snake
22213,elvis presley
22208,roman flgel
22202,various artists
22219,m. geddes gengras
22206,jon bap
22151,katie dey
22137,various artists
22200,various artists
22216,zhu
22209,tobacco
22170,kllo
22139,wild beasts
22218,noname
22182,michal turtle
22203,cluster ensemble
22044,michael jackson
22186,sunny day real estate
22204,cam & china
22188,nels cline
22205,panopticon
22191,dj khaled
22199,trim
22195,delia derbyshire
22195,elsa stansfield
22148,rival consoles
22196,descendents
22201,lil uzi vert
22187,haley bonar
22179,blowout
22149,dinosaur jr.
22152,delroy edwards
22192,thunder tillman
22165,cheena
22163,nao
22143,steve aoki
22183,shy layers
22178,owen
22168,titus andronicus
22145,hieroglyphic being
22142,meshuggah
22184,metronome
22162,mary lattimore
22162,jeff zeigler
22107,red hot chili peppers
22159,nina simone
22118,various artists
22194,no joy
22133,psalm zero
22173,elza soares
22113,william s. burroughs
22190,stwo
22172,frankie reyes
22180,jeremih
22136,lil durk
22181,lori mckenna
22130,tristan perich
22177,lil yachty
22147,russian circles
22175,florian kupfer
22129,hammers of misfortune
22157,gucci mane
22128,gap dream
22160,shy glizzy
22098,big business
22167,snoop dogg
22171,blu
22171,nottz
21886,michael kiwanuka
22154,notekillers
22166,various artists
22043,de la soul
22161,21 savage
22161,metro boomin
22123,wymond miles
22144,the amazing
22176,jherek bischoff
22119,floating points
22121,z-ro
22126,various artists
22158,pauline oliveros
22156,jamila woods
22135,dreezy
22106,max romeo
22140,johnny foreigner
22120,ian william craig
22110,abra
22138,towkio
22127,wreck and reference
22109,badbadnotgood
22117,mstrkrft
22125,pylon
22155,wolfgang tillmans
22101,clams casino
22103,elysia crampton
22116,camp cope
22124,shackleton
22087,konx-om-pax
21924,fleetwood mac
22073,the julie ruin
22141,migos
22062,mark barrott
22108,various artists
22075,shura
22111,betty davis
22122,kel valhaal
22105,jackmaster
22094,schoolboy q
22090,darkstar
22064,trust punks
22102,tangents
22093,arca
22100,lindstrm
22095,martha
22114,john roberts
22057,maxwell
22097,kelsey lu
22088,eric copeland
22099,gone is gone
21895,vivien goldman
22085,risn murphy
22071,araabmuzik
22059,gggs
22104,roy wood$
22035,lauryn hill
22060,metronomy
22092,scharpling & wurster
22016,marisa anderson
22026,steven julien
22065,the avalanches
22091,nite-funk
22086,nils frahm
22086,woodkid
22015,gojira
22072,aphex twin
22074,inter arma
22089,the game
22027,hot hot heat
22080,blink-182
22083,magic!
21883,weaves
22076,egisto macchi
22067,bat for lashes
22084,mick harvey
22069,alice bag
22056,stephen steinbrink
22054,pulp
22079,desiigner
22081,nice as fuck
22063,look mexico
22082,sunpath
22077,future
22077,dj esco
22078,james ferraro
22066,puro instinct
22022,david toop
22052,blood orange
22070,river tiber
22029,lets eat grandma
22021,lungfish
22030,jim orourke
22030,fennesz
22013,deerhoof
21969,told slant
22001,amy klein
22055,bruce springsteen
22041,blut aus nord
22041,vangelist
22068,caveman
22042,bjarki
22039,suicide
21985,the avett brothers
22018,delorean
22058,yumi zouma
21968,jay arner
22053,neil young
22019,dj shadow
22014,grace jones
22038,john cage
22038,sun ra
22007,allen toussaint
22050,g.l.o.s.s.
21719,laura mvula
22012,odonis odonis
22032,saqqara mastabas
22049,disclosure
22048,wye oak
22017,sui zhen
22005,the gotobeds
21970,mitski
22036,bishop nehru
21971,brigid mae power
21979,rlyr
21994,swans
21988,yg
21984,todd terje
21984,the olsens
22000,ro james
21992,red hot chili peppers
22010,palmistry
22011,will butler
22034,vatican shadow
21951,weval
22037,george harrison
22024,case/lang/veirs
21884,yung
22046,kodak black
21982,nails
21973,neil young
21726,jake bugg
22033,the fall
21991,audion
22004,van morrison
22040,nick jonas
21974,nite jewel
22008,laraaji
22008,sun araw
22006,waxahatchee
21972,dan lissvik
22031,mozzy
21945,diarrhea planet
21995,band of horses
21965,the temper trap
21882,jackie lynn
22002,nate wooley
21990,air
21885,huerco s.
21967,plaid
21966,holger czukay
21889,sumac
21964,kate bush
21980,cornelius
21946,alexis taylor
21941,ladyhawke
21931,fear of men
21953,garbage
21987,speedy ortiz
21996,floorplan
21999,margaret glaspy
21998,vic mensa
21978,paul simon
21961,peter bjorn and john
21722,terry reid
21952,tegan and sara
21997,various artists
21872,mourn
21954,xenia rubinos
21986,the strokes
21962,the kills
21938,lone
21654,white zombie
21871,whitney
21828,big thief
21959,melvins
21977,moonface
21977,siinai
21981,payroll giovanni
21904,slum village
21873,steve gunn
21960,the wailers
21890,cough
21913,joey purp
21932,fifth harmony
21942,dm-funk
21937,seiho
21921,flume
21916,william tyler
21976,die antwoord
21915,jank
21944,mark kozelek
21723,holy fuck
21958,sepalcure
21975,angry angles
21957,kevin gates
21917,beth orton
21943,minor victories
21910,angel du$t
21956,daniel romano
21891,kristin kontrol
21718,pup
21922,olga bell
21786,rebolledo
21950,autechre
21821,robert glasper
21821,miles davis
21947,classixx
21934,africans with mainframes
21675,the hotelier
21940,the underachievers
21933,allen ginsberg
21949,debo band
21948,wolf parade
21955,islands
21536,various artists
21936,adult jazz
21892,ariana grande
21874,gold panda
21584,steve reich
21880,mock orange
21896,david bowie
21923,dawn richard
21929,so so glos
21914,terry allen
21939,bob dylan
21926,pantha du prince
21893,rhys chatham
21868,eagulls
21920,christian naujoks
21864,marissa nadler
21894,richard ashcroft
21935,adia victoria
21721,carla bley
21673,car seat headrest
21928,post malone
21898,head wound city
21875,tim heidecker
21771,various artists
21725,mutual benefit
21912,torn hawk
21865,oscar
21802,jessy lanza
21676,nothing
21887,a giant dog
21919,shit robot
21909,chance the rapper
21700,summer cannibals
21911,jameszoo
21869,pinkshinyultrablast
21918,miles davis
21677,modern baseball
21818,kvelertak
21784,arbor labor union
21862,hooded fang
21901,ryan adams
21858,skepta
21900,corinne bailey rae
21877,thomas cohen
21899,kaytranada
21785,mark pritchard
21724,twin peaks
21908,bacao rhythm & steel band
21879,death grips
21876,jean-michel jarre
21820,pita
21859,seratones
21907,radiohead
21888,luh
21678,gregory porter
21878,mary chapin carpenter
21906,james blake
21861,little scream
21863,homeboy sandman
21852,fog
21782,julianna barwick
21783,helado negro
21855,meyhem lauren
21720,chris cohen
21817,jack dejohnette
21817,ravi coltrane
21817,matthew garrison
21701,cluster
21854,various artists
21856,britta phillips
21905,mo troper
21849,white lung
21860,various artists
21645,vektor
21857,big black delta
21819,anohni
21794,pity sex
21810,various artists
21815,hurry
21687,aesop rock
21804,egyptian lover
21853,king gizzard & the lizard wizard
21851,operators
21848,katy b
21653,various artists
21813,holy ghost!
21903,yoni & geti
21816,lush
21836,drake
21835,various artists
21850,anna wise
21801,alarm will sound
21845,prince
21842,prince
21844,prince
21844,the revolution
21846,prince
21846,the new power generation
21841,prince
21841,the revolution
21866,prince
21843,prince
21847,prince
21847,the revolution
21715,wire
21839,dej loaf
21637,dlek
21781,horse lords
21743,brian eno
21806,ensemble dal niente
21806,deerhoof
21834,susanna
21825,audio push
21867,beyonc
21826,a$ap ferg
21838,cullen omori
21837,antwon
21833,andy stott
21797,etta james
21762,ulver
21717,kyle craft
21814,rogue wave
21694,john carpenter
21799,bill evans
21840,dj quik
21840,problem
21744,plants and animals
21714,jay reatard
21696,konono n1
21696,batida
21832,primitive weapons
21827,sorority noise
21808,guided by voices
21807,arthur russell
21792,cellars
21695,lawrence
21709,j dilla
21778,carlos nio & friends
21708,various artists
21809,various artists
21758,sturgill simpson
21791,lush
21699,dave harrington group
21831,toyomu
21822,deakin
21800,sam beam & jesca hoop
21733,bleached
21729,mr. lif
21824,tunji ige
21681,kevin morby
21680,colin stetson
21829,royce 59
21636,cate le bon
21703,tyler friedman
21703,samuel rohrer
21698,pj harvey
21749,xiu xiu
21697,eskimeaux
21742,ben watt
21780,peder mannerfelt
21755,metallica
21688,niki and the dove
21812,kweku collins
21716,greys
21732,youth code
21547,deftones
21562,kaitlyn aurelia smith
21811,into it. over it.
21770,gallant
21752,dinner
21769,m83
21690,dj rashad
21679,frightened rabbit
21803,k. michelle
21693,bombino
21597,parquet courts
21748,mogwai
21767,terrace martin
21594,tacocat
21704,"trd, grs och stenar"
21635,tim hecker
21796,death grips
21750,woods
21805,twenty88
21587,flying saucer attack
21775,grimes
21766,ash koosha
21751,andrew bird
21728,teen suicide
21674,henry threadgill
21674,ensemble double-up
21756,dvsn
21768,yeasayer
21596,the last shadow puppets
21747,autolux
21776,bob mould
21628,the field
21627,leon vynehall
21576,pet shop boys
21633,tombs
21757,com truise
21765,frankie cosmos
21779,eric bachmann
21741,black milk & nat turner
21626,nisennenmondai
21777,glenn jones
21790,azealia banks
21763,charles bradley
21595,black mountain
21538,mike and the melvins
21537,the monochrome set
21593,weezer
21789,young thug
21551,bibio
21660,laura gibson
21710,elliphant
21764,zayn
21754,moderat
21788,ramriddlz
21629,japanese breakfast
21652,brad fiedel
21686,explosions in the sky
21761,rjd2
21740,domo genesis
21535,anthony braxton
21746,public memory
21656,larry levan
21685,cobalt
21625,studio ost
21702,babyfather
21641,masami akita & eiko ishibashi
21712,kamaiyah
21759,the thermals
21664,father
21745,margo price
21737,amnesia scanner
21518,vijay iyer
21518,wadada leo smith
21683,charli xcx
21738,baauer
21773,boosie badazz
21615,starchild & the new romantic
21707,ilovemakonnen
21550,the joy formidable
21730,lucius
21684,the body
21684,full of hell
21727,kiran leonard
21647,gwen stefani
21672,boris
21672,merzbow
21739,rolling blackouts coastal fever
21614,various artists
21617,open mike eagle & paul white
21591,bonnie prince billy
21591,bitchin bajas
21646,lust for youth
