  Azerbaijan,2862,3420,3157,3658,3827,3868,4003,4098,4194,4393,4341,4399,4278,4468,4444,4532
  Bahamas,58,69,75,79,84,84,87,91,92,96,94,95,96,101,100,103
  Bahrain,202,231,228,246,244,249,251,254,265,276,295,307,319,351,369,395
  Bangladesh,24972,25495,28329,34290,35884,37915,39519,40663,41901,41749,42386,41222,44623,45487,44368,47060
  Barbados,159,166,162,167,163,160,159,154,153,159,155,157,162,166,167,171
  Belarus,7792,9674,9974,10780,10443,9952,9963,10050,10105,10145,8944,8713,8392,8149,7942,8018
  Belize,26,34,48,55,58,59,59,61,62,65,65,68,67,73,73,77
  Benin,693,724,817,789,801,817,822,841,857,891,933,950,927,1213,1187,1204
  Bermuda,20,18,20,20,20,19,19,19,19,20,20,20,19,19,19,20
  Bhutan,98,108,121,151,158,165,172,180,186,190,197,202,207,212,212,223
  Bolivia,1333,1503,1733,2114,2194,2277,2339,2390,2447,2437,2424,2496,2498,2439,2453,2579
  Bosnia and Herzegovina,935,1146,1420,1736,1777,1894,1848,1895,1899,1995,1936,1951,1934,2030,1960,1984
  Botswana,144,174,212,272,286,291,312,328,334,334,341,348,352,366,367,372
  Brazil,24898,29771,33736,37366,38890,40418,42000,43815,45571,47457,47056,47332,47203,47873,47844,50251
  Brunei Darussalam,31,36,39,45,47,49,50,52,54,55,59,53,48,54,48,50
  Bulgaria,6377,7203,6950,6732,6832,6665,6507,6419,6382,6587,6213,5882,6075,6027,5808,5857
  Burkina Faso,1250,1345,1558,1541,1586,1583,1604,1619,1664,1716,1858,1657,1768,2393,2264,2371
  Burundi,906,925,878,841,847,844,840,840,836,862,936,930,950,945,959,999
  Cambodia,1652,1824,1839,1920,1929,1959,1987,2006,2040,2071,2157,2174,2147,2108,2094,2195
  Cameroon,2673,3281,3846,4150,4320,4426,4516,4678,4774,4790,5149,5039,5088,6221,6318,6427
  Cabo Verde,38,47,62,64,67,68,70,71,73,85,91,93,95,113,108,115
  Central African Republic,532,629,689,791,836,863,875,888,903,910,959,929,910,1036,1021,1021
  Chad,1153,1402,1664,1667,1735,1833,1854,1892,1971,1943,2111,2029,2050,2681,2616,2700
  China (People's Republic of),403608,479115,550362,646796,644064,658586,687635,725547,762278,795425,780905,796152,807432,844915,826368,851660
  Colombia,3672,4855,5341,6563,7081,7236,7583,7955,8092,8067,8149,8127,8198,8458,8610,9032
  Comoros,43,46,47,49,50,52,53,54,55,57,59,60,63,64,65,67
  Congo,519,608,703,730,750,774,792,803,811,856,875,942,979,999,1047,1115
  Democratic Republic of the Congo,6175,7023,7683,7348,7386,7520,7725,7819,8001,8301,8864,9450,9380,10201,10520,10645
  Costa Rica,299,429,505,546,570,527,553,571,649,662,679,683,700,739,781,818
  Côte d'Ivoire,1060,1375,1718,1686,1735,1732,1733,1725,1729,1843,1947,1939,1957,2509,2455,2429
  Croatia,2606,2594,2672,2840,2829,2910,2927,2789,2736,2754,2623,2485,2475,2648,2438,2459
  Cuba,4202,4826,4771,5172,5032,5125,5299,5378,5431,5309,5324,5445,5444,5675,5640,5685
  Cyprus,365,394,463,461,455,452,440,436,429,424,415,417,423,441,430,449
  Djibouti,65,94,118,149,157,160,162,164,166,176,180,188,197,221,229,236
  Dominica,15,19,22,25,25,26,26,26,27,28,28,29,29,29,29,29
  Dominican Republic,521,669,936,1370,1484,1538,1596,1658,1731,1818,1866,1963,2007,2218,2201,2258
  Ecuador,1328,1777,2102,2734,2859,2977,3081,3140,3235,3290,3401,3282,3136,3147,3240,3332
  Egypt,41527,38420,38185,44279,45676,45974,47402,49610,50853,50227,51645,51970,52635,57397,57964,58842
  El Salvador,582,746,926,1245,1274,1385,1380,1454,1448,1603,1520,1607,1636,1663,1628,1654
  Equatorial Guinea,97,112,110,97,104,107,109,113,115,118,120,121,129,149,161,166
  Eritrea,517,619,654,768,787,797,801,793,785,789,807,837,794,872,865,868
  Ethiopia,11405,11159,6745,5580,5605,5725,5828,5929,6045,6197,6254,6316,6371,7049,7278,7543
  Fiji,85,120,175,210,224,241,253,257,265,283,276,274,279,287,281,286
  Gabon,248,307,363,409,431,442,456,459,454,477,483,490,506,533,547,566
  Gambia,107,119,138,155,162,168,171,175,182,184,199,201,209,250,235,250
  Georgia,2593,2284,2043,2059,2062,2102,2221,2321,2329,2346,2172,2089,2016,2159,2123,2180
  Ghana,1825,2023,2597,2665,2833,2971,3054,3167,3307,3563,3754,3780,3687,4805,5222,5191
  Greenland,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17
  Grenada,29,31,34,44,46,49,52,56,59,63,63,65,67,70,71,73
  Guam,23,31,44,50,51,53,54,56,56,58,58,59,58,62,61,63
  Guatemala,1095,1404,1815,2009,2032,1979,1974,2063,2098,2264,2253,2363,2301,2325,2398,2561
  Guinea,750,801,862,853,892,909,905,920,939,958,998,946,965,1214,1157,1205
  Guinea-Bissau,115,121,134,122,124,133,135,136,137,141,139,141,146,171,164,168
  Guyana,165,177,219,241,243,244,244,242,259,280,284,274,269,273,268,272
  Haiti,664,724,761,834,857,887,908,939,944,997,960,952,957,939,942,965
  Honduras,306,416,503,645,671,695,711,733,754,843,849,901,828,846,848,880
  India,283851,318669,364188,402651,424770,447847,472332,493780,518120,547509,544095,580071,599629,627779,649832,673129
  Indonesia,19348,23256,28443,35250,36592,37769,38988,39974,40821,42353,44413,44073,45206,48076,49767,52101
  Iran,14358,15406,17575,20184,20873,21431,21976,22580,23155,23537,24088,24655,25474,26685,27109,27628
  Iraq,9031,11110,12272,11515,11262,11027,10768,10548,10342,9913,9658,9456,8965,9075,9053,9226
  Jamaica,317,465,600,593,595,664,718,780,752,772,787,857,873,890,910,919
  Jordan,1030,1199,1276,1318,1362,1331,1305,1314,1339,1371,1414,1481,1572,1670,1762,1881
  Kazakhstan,4531,6165,5858,6230,6427,6479,6221,5897,5850,5819,5561,5490,5183,5425,5281,5544
  Kenya,2177,2637,3033,3275,3376,3481,3583,3711,3876,4040,4197,4249,4339,4360,4532,4710
  Democratic People's Republic of Korea,5380,6442,7276,8365,8635,8907,9203,9443,9678,9911,9661,10142,10030,10790,9724,10043
  Kiribati,5,6,8,9,9,10,10,10,10,11,10,11,10,10,10,10
  Kuwait,345,357,447,532,573,598,632,633,615,619,657,681,681,745,771,818
  Kyrgyzstan,1594,1734,1653,1721,1779,1788,1750,1687,1648,1662,1585,1580,1495,1520,1442,1450
  Lao People's Democratic Republic,914,994,1041,1154,1175,1188,1227,1234,1235,1169,1206,1223,1175,1116,1128,1115
  Lebanon,1498,1515,1565,1835,1904,1969,2032,2087,2132,2174,2236,2323,2399,2492,2550,2642
  Lesotho,301,347,441,495,500,512,531,533,545,543,550,572,594,572,533,525
  Liberia,164,147,157,139,136,138,139,143,147,161,171,166,161,196,195,198
  Libya,1218,1327,1570,1794,1791,1819,1945,2171,2255,2241,2275,2455,2552,2682,2828,2969
  Madagascar,1230,1365,1396,1553,1553,1557,1604,1647,1660,1744,1713,1830,1877,1876,1926,1951
  Malawi,787,904,959,881,894,911,915,948,972,973,1026,1006,1028,1040,1018,1046
  Malaysia,3579,4955,6369,7503,7695,7936,8400,8852,8926,9019,9328,9141,9559,10226,10038,10585
  Maldives,12,16,21,27,29,30,32,32,32,34,34,34,34,35,33,35
  Mali,880,868,916,914,960,974,1013,1035,1055,1032,1042,1025,1105,1407,1402,1463
  Malta,172,168,177,183,184,186,184,184,185,184,180,180,179,188,193,201
  Marshall Islands,5,7,8,9,9,10,10,10,11,11,11,11,11,11,11,12
  Mauritania,530,505,520,475,486,492,497,502,501,517,555,545,589,655,653,681
  Mauritius,302,380,447,540,558,556,580,596,594,602,632,640,661,656,673,693
  Micronesia,12,14,15,17,17,18,18,19,19,20,19,20,19,20,20,21
  Moldova,1755,2191,1853,2304,2352,2384,2407,2489,2547,2453,2312,2202,2231,2328,2203,2188
  Mongolia,875,856,830,831,842,846,865,904,909,929,892,891,860,913,886,952
  Montenegro,206,232,265,295,299,298,296,293,290,304,294,291,286,297,288,293
  Morocco,10660,12360,12999,13786,14201,14499,14759,14915,15137,15446,15450,16188,16724,17408,18163,18538
  Mozambique,1019,977,1012,1089,1145,1213,1264,1323,1379,1354,1428,1447,1492,1508,1521,1554
  Myanmar,9792,10733,11658,13952,14261,14431,14634,14703,14760,14867,14876,15331,15037,14976,14681,14895
  Namibia,242,292,391,401,397,389,382,375,369,362,365,380,379,403,405,417
  Nepal,6258,6520,6527,7395,7813,8257,8683,9075,9471,9908,10159,10528,11169,11513,12104,12659
  Nicaragua,216,244,300,380,382,400,420,432,432,459,486,507,496,484,476,494
