  Benin,303,358,420,471,480,488,498,510,522,537,552,563,571,578,585,593
  Bermuda,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
  Bhutan,50,56,62,68,69,71,72,74,76,77,78,80,81,83,84,85
  Bolivia,468,525,569,629,642,661,678,695,712,730,745,760,777,793,811,826
  Bosnia and Herzegovina,561,716,650,679,682,710,684,693,690,692,683,689,691,705,702,699
  Botswana,79,87,95,114,115,113,119,122,123,125,124,125,126,126,126,126
  Brazil,15945,17383,18233,19088,19161,19287,19480,19681,19920,20162,20146,20214,20261,20554,21060,21580
  Brunei Darussalam,10,11,10,10,10,10,10,10,10,11,11,11,11,11,11,11
  Bulgaria,1334,1611,1701,1681,1686,1641,1590,1555,1545,1529,1489,1450,1486,1452,1440,1435
  Burkina Faso,740,865,1101,1341,1385,1426,1468,1520,1559,1599,1652,1697,1736,1771,1801,1827
  Burundi,561,571,514,458,450,446,444,444,449,456,463,468,474,481,488,497
  Cambodia,896,1046,1159,1220,1227,1241,1256,1276,1298,1323,1350,1382,1415,1451,1490,1528
  Cameroon,669,905,1265,1553,1596,1633,1665,1699,1731,1755,1777,1793,1808,1827,1846,1860
  Cabo Verde,20,22,24,26,27,27,27,28,28,29,29,29,30,30,31,31
  Central African Republic,187,216,243,261,265,267,270,275,281,285,287,292,296,301,305,307
  Chad,530,621,783,892,910,941,970,1001,1033,1058,1080,1093,1113,1133,1157,1178
  China (People's Republic of),185062,205929,234156,269238,265152,268815,279674,293731,307002,317032,324188,324101,336253,350216,358256,357414
  Colombia,2832,3439,3272,3506,3640,3596,3642,3706,3676,3580,3608,3641,3677,3820,3949,4053
  Comoros,43,46,45,42,42,43,43,43,43,44,44,45,45,46,46,46
  Congo,124,145,149,144,142,142,142,142,143,142,143,143,145,147,147,150
  Democratic Republic of the Congo,1392,1722,2029,2259,2323,2386,2466,2529,2579,2651,2714,2750,2785,2813,2861,2911
  Costa Rica,227,299,308,323,339,313,327,335,375,375,382,387,400,427,463,477
  Côte d'Ivoire,635,911,1139,1292,1317,1325,1324,1327,1338,1347,1364,1376,1389,1395,1393,1395
  Croatia,358,361,362,371,370,381,383,368,368,363,360,347,353,366,347,349
  Cuba,1955,2245,2152,2275,2180,2203,2279,2329,2378,2254,2328,2372,2441,2548,2581,2583
  Cyprus,77,85,103,101,98,96,92,89,86,84,83,84,85,86,88,90
  Djibouti,16,21,25,27,28,29,29,30,31,31,32,33,34,35,35,36
  Dominica,10,11,10,9,9,9,9,9,9,10,10,10,10,10,10,10
  Dominican Republic,800,937,1155,1468,1539,1561,1598,1647,1708,1736,1833,1956,2070,2157,2207,2191
  Ecuador,369,421,491,639,663,686,706,719,742,769,784,784,790,804,836,852
  Egypt,12414,13748,14741,17463,17946,17852,18372,19184,19715,19980,20418,20273,20518,21305,21689,22086
  El Salvador,696,791,844,1044,1042,1109,1093,1139,1124,1144,1107,1143,1219,1233,1229,1225
  Equatorial Guinea,49,50,38,31,31,31,31,31,31,31,32,32,32,33,34,34
  Eritrea,262,257,227,248,248,248,250,249,251,249,248,245,243,244,242,242
