Year,1950,1950,1960,1960,1970,1970,1980,1980,1990,1990,1995,1995,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
Domain,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine,Terrestrial,Marine
Hungary,0,..,0.1,..,0.1,..,3.5,..,6.1,..,6.9,..,9.4,..,9.5,..,10.2,..,12.2,..,22.3,..,22.3,..,22.3,..,22.3,..,22.3,..,22.3,..,22.5,..,22.6,..,22.6,..,22.6,..,22.6,..,22.6,..,22.6,..,22.6,..,22.6,..,22.6,..
Iceland,0.2,0,0.2,0,0.2,0,2.4,0,3.5,0,3.7,0.3,3.7,0.3,3.9,0.3,3.9,0.3,4,0.3,4,0.3,4.4,0.3,4.4,0.4,4.4,0.4,18,0.4,18,0.4,18,0.4,18,0.4,18,0.4,18.6,0.4,18.6,0.4,18.6,0.4,18.7,0.4,18.7,0.4,18.7,0.4,18.7,0.4
Ireland,0,0,0,0,0,0,0,0,0.2,0,4.5,0.3,10.3,0.6,10.5,0.9,10.6,0.9,11.3,0.9,11.6,1,12.2,1,13.3,1.6,14.1,1.6,14.1,1.6,14.1,1.6,14.2,1.6,14.2,2.2,14.2,2.4,14.2,2.4,14.2,2.4,14.2,2.4,14.2,2.4,14.2,2.4,14.2,2.4,14.2,2.4
Israel,0.3,0,0.3,0,1.4,0,2.1,0,12.1,0,15.1,0,15.1,0,15.2,0,15.2,0,17.8,0,17.8,0,17.9,0.1,17.9,0.1,18.1,0.1,18.8,0.1,19.1,0.1,20,0.1,20,0.1,20,0.1,20,0.1,20,0.1,20,0.1,20,0.1,20,0.1,20,0.1,20,0.1
Italy,0.9,0,0.9,0,0.9,0,1.7,0,5.8,0.2,15.2,0.8,19.1,5.4,19.2,5.4,19.3,5.4,19.6,5.4,19.8,5.4,20.1,5.5,20.6,5.5,21,5.6,21,5.6,21.4,5.6,21.5,5.6,21.5,5.6,21.5,5.6,21.5,5.6,21.5,5.6,21.5,5.6,21.5,5.6,21.5,5.6,21.5,5.6,21.5,5.6
Japan,5.9,0.2,9.2,0.3,13.4,0.3,16.2,7.8,18.5,7.8,19,7.8,19.3,7.8,19.5,7.8,19.6,7.8,20,8.1,20.3,8.1,20.4,8.1,20.6,8.1,21,8.1,21,8.1,21,8.1,21.1,8.1,21.1,8.1,21.2,8.1,21.4,9,21.4,9,21.4,9,21.4,9,21.4,9,21.4,9,21.4,9
Korea,0.2,0,0.2,0,2.2,0.2,4.1,0.2,6.1,0.7,6.3,0.7,7.8,1,7.9,1,9,1,9,1,9.1,1.1,10.7,1.1,11,1.1,11.1,1.1,11.3,1.1,11.4,1.1,11.4,1.1,11.5,1.1,11.5,1.1,11.6,1.1,11.6,1.2,11.6,1.2,11.6,1.2,11.6,1.2,11.6,1.2,11.6,1.2
Latvia,0.3,0,1,0,1.1,0.1,5,0.1,6.6,0.1,6.6,0.3,14.8,1.1,14.8,1.1,16.1,2.5,18,2.5,18.1,2.5,18.1,2.5,18.1,2.5,18.1,2.5,18.1,2.5,18.1,2.5,18.2,16.4,18.2,16.4,18.2,16.4,18.2,16.4,18.2,16.4,18.2,16.4,18.2,16.4,18.2,16.4,18.2,16.4,18.2,16.4
Lithuania,0,0,0.3,0,0.3,0,1.6,0,1.9,0.1,11.5,3.5,11.6,3.5,11.6,3.5,11.8,3.7,12.8,3.7,14.7,8,16.4,10.1,16.5,10.1,16.5,10.1,16.5,10.1,16.9,10.1,16.9,10.1,16.9,10.1,16.9,10.1,16.9,14.8,16.9,14.8,16.9,23,16.9,23,17,23,17,23,17,23
Luxembourg,0,..,0,..,16,..,16.2,..,16.5,..,17,..,35.1,..,35.3,..,37.2,..,38.7,..,38.7,..,38.7,..,38.7,..,38.7,..,38.7,..,38.7,..,38.7,..,38.7,..,38.7,..,38.7,..,38.7,..,45.7,..,51.4,..,51.4,..,51.4,..,51.4,..
Mexico,0.2,0,0.2,0,0.2,0,0.3,0,2.3,0.2,4,0.5,7.1,1.1,7.4,1.1,9.5,1.1,10,1.1,10.5,1.4,10.7,1.6,11,1.6,11.3,1.7,12.5,1.8,13.3,1.9,13.5,1.9,13.7,1.9,13.7,2,13.9,2,13.9,2,13.9,2,14.2,17.7,14.3,22.2,14.3,22.2,14.3,22.2
Netherlands,0.3,0,0.3,0,0.3,0,0.5,0.1,1.6,4.5,2.7,4.8,10.2,12,10.2,12,10.8,12.1,11.2,12.1,11.3,12.1,11.3,12.1,11.3,12.1,11.3,12.1,11.3,22.1,11.3,22.2,11.3,22.2,11.3,22.2,11.3,22.2,11.3,22.2,11.3,22.2,11.3,22.2,11.3,26.7,11.3,26.7,11.3,26.7,11.3,26.7
New Zealand,2.6,0,4.6,0,6.6,0,14.1,0,23.8,0.2,24.4,0.2,27.6,0.6,27.7,2.6,28.4,2.6,28.8,2.6,28.9,2.6,29.1,2.6,29.3,2.6,29.6,29.8,30.4,29.8,31.3,29.8,31.4,29.8,31.5,29.8,31.7,29.8,31.8,29.8,32.5,29.8,32.7,29.8,32.7,29.8,32.7,29.8,32.8,29.8,32.8,29.8
Norway,0,0,0,0,0.1,0,0.6,0.1,4.1,0.2,4.8,0.2,6,0.2,6.5,0.2,8.4,0.3,9.7,0.3,10.8,0.4,11.1,0.6,13.1,0.6,13.2,0.6,13.3,0.6,14.6,0.7,14.8,0.7,15.6,0.7,15.7,0.7,15.8,0.8,16.3,0.8,17.1,0.8,17.1,0.9,17.3,0.9,17.3,0.9,17.3,0.9
Poland,0.1,0,0.4,0.1,0.6,0.5,2.2,0.9,14,0.9,22.2,1,30.9,1,32.6,3.7,33.1,14.5,34.3,14.5,36.8,15.9,36.8,18.2,36.9,24.3,38.3,24.3,39.3,24.3,39.6,24.3,39.6,24.3,39.7,24.3,39.7,24.3,39.7,24.3,39.7,24.3,39.7,24.3,39.7,24.3,39.8,24.3,39.8,24.3,39.8,24.3
Portugal,0,0,0,0,0,0,3.6,0,8.3,0.3,9.3,0.3,21.5,0.3,21.5,0.3,21.5,0.3,21.5,0.3,21.6,0.3,21.6,0.3,21.6,0.4,21.6,0.6,22,0.6,22,0.6,22,0.6,22.1,0.9,22.5,0.9,22.7,0.9,22.7,0.9,22.8,2.5,22.8,4.2,22.8,4.2,22.8,4.2,22.8,4.2
Slovak Republic,0,..,0,..,0.1,..,1.7,..,6.3,..,7.4,..,14.1,..,16.8,..,18.3,..,22.4,..,34.1,..,34.1,..,34.1,..,35.1,..,35.1,..,35.1,..,35.1,..,37.2,..,37.2,..,37.2,..,37.2,..,37.2,..,37.2,..,37.6,..,37.6,..,37.6,..
Slovenia,4.2,0,4.2,0,4.4,0,5,0,7.2,0.3,8.1,0.5,8.7,1,8.8,1,9.9,1,12.1,1,53,96.9,53,96.9,53,96.9,53,96.9,53,96.9,53,96.9,53,96.9,53.1,96.9,53.1,96.9,53.5,96.9,53.5,96.9,53.5,96.9,53.5,96.9,53.5,96.9,53.5,96.9,53.5,96.9
Spain,2.2,0,2.3,0,2.4,0,2.5,0,8.5,0.2,11,0.3,24,0.8,25.4,0.8,25.6,0.8,26.3,0.8,26.9,0.9,27.2,0.9,27.4,0.9,27.5,0.9,27.5,1.2,27.8,1.2,27.8,1.2,28,1.3,28,1.3,28,1.3,28.1,7.2,28.1,8.4,28.1,8.4,28.1,8.4,28.1,8.4,28.1,8.4
Sweden,2.3,0.6,2.4,0.6,2.6,0.7,3.2,0.9,3.9,1.7,9.8,2.3,12.9,4.3,13.3,4.4,13.4,4.4,13.6,4.4,13.6,4.4,13.7,5.1,13.7,5.2,13.7,5.6,13.8,7.3,13.9,7.3,14,7.3,14,7.4,14.1,8.2,14.1,8.3,14.2,8.6,14.3,8.6,14.4,14.8,14.5,15.5,14.6,15.5,14.6,15.5
Switzerland,0.4,..,0.4,..,0.5,..,0.5,..,0.9,..,5.2,..,5.4,..,7.6,..,7.6,..,7.7,..,7.7,..,7.7,..,7.7,..,7.8,..,8.4,..,9.5,..,10,..,10,..,10,..,10,..,10,..,10,..,10,..,10.3,..,10.3,..,10.3,..
United Kingdom,0.3,0,8.4,0.1,11.3,0.1,17.3,0.8,21.6,1.2,23.3,1.4,24.3,3,24.5,3,25.1,3,26.3,3,26.3,3,26.4,3,26.6,3.1,26.6,3.6,27.1,4,27.1,4.3,28.4,6.1,28.4,7.8,28.5,9,28.5,10.2,28.5,18.2,28.5,18.2,28.5,19.6,28.6,26.3,28.6,26.4,28.6,26.4
United States,3.5,0.2,4.6,0.2,5.3,0.3,10.2,0.6,10.9,6.6,11.8,7.3,12.5,15.2,12.5,15.3,12.5,24.2,12.5,24.2,12.6,24.2,12.6,24.2,12.7,37.7,12.7,37.7,12.8,40.7,12.8,40.7,12.9,40.8,12.9,40.8,12.9,40.8,12.9,40.8,13,40.8,13,40.8,13,40.8,13,40.8,13,40.8,13,40.8
