Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
United Kingdom,797948,807119,786249,766961,757972,751272,773286,747862,746500,715997,715687,718693,699148,706205,702933,695165,688015,676322,655903,599871,614361,567161,583653,569902,529503,511980,487035,474346
United States,6371001,6315615,6424934,6532070,6624836,6710067,6907699,6968462,7032526,7071461,7232011,7116810,7156653,7199263,7333052,7339040,7270327,7369968,7160601,6709369,6938592,6787419,6545969,6710218,6759996,6623775,6492267,6456718
European Union (28 countries),5649529,5555046,5379831,5281540,5255297,5308544,5418672,5326317,5281519,5172644,5168912,5223118,5182923,5265583,5265369,5228429,5214525,5162425,5046999,4681900,4783628,4626382,4563065,4468920,4297636,4327313,4303392,4323163
OECD - Europe,5595163,5575282,5425270,5343127,5317709,5377033,5507201,5430486,5412114,5326302,5348641,5380002,5342087,5434651,5446908,5432329,5437765,5412706,5299265,4969624,5082700,4939252,4906686,4822748,4664986,4705402,4712087,4754649
OECD - Total,15171684,15133813,15159026,15220484,15427192,15644717,16078128,16148165,16123155,16149179,16437124,16333058,16411824,16591832,16775855,16794214,16736965,16931124,16580017,15663278,16128491,15943989,15732322,15837803,15669944,15570343,15428983,15436970
  Argentina,220241,230414,234122,239560,243599,244499,256464,258304,262725,264638,280309,276903,269316,286382,298167,307493,321462,335854,331802,322554,300695,310315,310670,321012,322555,..,..,..
  Brazil,573079,592144,601634,614411,633105,660104,664669,689839,709934,729124,756664,775840,791184,811626,846526,863895,881670,881782,910098,890515,954325,991691,1027739,..,..,..,..,..
  China (People's Republic of),..,..,..,..,4057617,..,..,..,..,..,..,..,..,..,..,7465862,..,..,..,..,..,..,11895765,..,..,..,..,..
  Colombia,94041,97253,102161,103814,105140,106659,109796,114195,113892,108652,110795,109489,109966,113929,117271,122239,130651,131880,130026,137137,138248,133918,139838,147803,150615,..,..,..
  Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10878,..,..,..,..,12511,..,13257,..,..,..,..,..
  India,..,..,..,..,1214248,..,..,..,..,..,1523767,..,..,..,..,..,..,..,..,..,2100850,..,..,..,..,..,..,..
  Indonesia,..,..,..,..,..,..,..,..,..,..,502363,537949,545911,559139,583101,590736,610242,607947,629710,628562,685711,726262,757250,796579,864948,907334,883224,..
  Russia,3186796,3024288,2537054,2399329,2137001,2084833,2029805,1912592,1879190,1904986,1900820,1941994,1923732,1958582,1973484,1993963,2056688,2058076,2097173,1960224,2057673,2120497,2146306,2090717,2089475,2093653,2097477,2155471
  South Africa,347349,..,..,..,379837,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
