,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Korea,"99,260.00","99,260.00","99,260.00","99,260.00","99,260.00","99,260.00","99,260.00","99,260.00","99,260.00","99,260.00","99,260.00","99,540.00","99,590.00","99,600.00","99,620.00","99,650.00","99,680.00","99,720.00","99,830.00","99,900.00","100,030.00","100,030.00","100,150.00","100,266.00","100,280.00","100,295.00","100,339.00"
Latvia,..,..,"64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,559.00","64,560.00","64,510.00","64,480.00","64,480.00","64,490.00","64,490.00","64,490.00","64,490.00"
Lithuania,..,..,"65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,300.00","65,286.00","65,286.00","65,286.00"
Luxembourg,..,..,..,..,..,..,..,..,..,..,"2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00","2,590.00"
Mexico,"1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,380.00","1,964,375.00"
Netherlands,"41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,530.00","41,540.00","41,540.00","41,540.00","41,540.00","41,540.00","41,540.00","41,540.00","41,540.00","41,540.00","41,540.00","41,540.00","41,540.00"
New Zealand,"267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00","267,710.00"
Norway,"385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","385,178.00","625,217.10","625,217.10","625,217.10","625,217.10"
Poland,"312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,690.00","312,680.00","312,680.00","312,680.00","312,680.00","312,680.00","312,680.00","312,680.00","312,680.00","312,680.00","312,680.00","312,680.00"
Portugal,"92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,120.00","92,090.00","92,090.00","92,090.00","92,090.00","92,210.00","92,210.00","92,210.00","92,210.00","92,225.20","92,225.60","92,225.60","92,225.60"
